City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.99,77,99,11.29,TF,1733712523
1,iqaluit,63.7506,-68.5145,-20.73,70,75,10.8,CA,1733712524
2,waitangi,-43.9535,-176.5597,16.01,97,98,5.36,NZ,1733712526
3,darwin,-12.4611,130.8418,32.72,62,75,5.66,AU,1733712472
4,bontang,0.1333,117.5,28.71,69,68,1.59,ID,1733712528
5,chadron,42.8294,-102.9999,3.87,50,75,3.6,US,1733712529
6,edinburgh of the seven seas,-37.0676,-12.3116,15.32,89,100,7.23,SH,1733712530
7,jamestown,42.097,-79.2353,1.8,98,100,0.45,US,1733712531
8,horta,38.5333,-28.6333,18.34,89,100,5.81,PT,1733712532
9,lebu,-37.6167,-73.65,12.18,80,48,7.22,CL,1733712382
10,iskateley,67.6803,53.1512,-6.1,95,100,7.02,RU,1733712534
11,jalai nur,49.45,117.7,-9.6,90,92,2.19,CN,1733712535
12,east london,-33.0153,27.9116,21.82,92,91,3.06,ZA,1733712311
13,chonchi,-42.6128,-73.8092,8.95,94,40,1.42,CL,1733712538
14,labrador city,52.9463,-66.9114,-14.34,78,100,0.0,CA,1733712517
15,constantia,44.1833,28.65,8.38,90,55,6.98,RO,1733712540
16,south bay,26.664,-80.7162,18.51,77,53,3.93,US,1733712541
17,hamilton,39.1834,-84.5333,12.47,65,100,5.66,US,1733711823
18,port elizabeth,-33.918,25.5701,20.16,93,20,3.09,ZA,1733712347
19,kayangel,8.0823,134.7173,28.29,79,100,4.87,PW,1733712544
20,santyoku,37.4406,129.1708,5.9,22,0,0.77,KR,1733712546
21,tabou,4.423,-7.3528,25.53,83,61,1.26,CI,1733712548
22,kruisfontein,-34.0033,24.7314,15.92,87,96,2.25,ZA,1733712549
23,bredasdorp,-34.5322,20.0403,14.97,84,62,1.79,ZA,1733712550
24,yarmouth,41.7057,-70.2286,6.19,69,0,3.09,US,1733712509
25,bodo,67.28,14.405,4.02,70,100,11.32,NO,1733712552
26,vorkuta,67.5,64.0,-10.58,94,100,7.45,RU,1733712553
27,ribeira grande,38.5167,-28.7,18.76,89,99,5.81,PT,1733712554
28,longyearbyen,78.2186,15.6401,-5.09,86,100,9.77,SJ,1733712556
29,adamstown,-25.066,-130.1015,22.87,78,1,8.71,PN,1733712557
30,vorgashor,67.5833,63.95,-10.67,94,100,7.49,RU,1733712558
31,konce,41.4958,22.385,4.77,96,99,0.36,MK,1733712559
32,papatowai,-46.5619,169.4708,15.32,49,14,9.42,NZ,1733712560
33,whitehorse,60.7161,-135.0538,-10.57,85,75,5.14,CA,1733712561
34,makhalino,53.0854,46.2211,-5.5,80,100,2.62,RU,1733712562
35,itaueira,-7.6033,-43.0256,25.8,61,15,2.12,BR,1733712563
36,kailua-kona,19.6406,-155.9956,26.98,75,100,2.57,US,1733712564
37,east end,34.5507,-92.341,10.4,96,100,4.59,US,1733712566
38,madhupur,24.25,86.65,17.91,44,97,1.95,IN,1733712567
39,tura,25.5198,90.2201,20.38,64,41,1.01,IN,1733712568
40,masina,-4.3836,15.3914,24.16,88,20,2.06,CD,1733712569
41,vytegra,61.0064,36.4481,-5.24,89,100,2.1,RU,1733712570
42,tosontsengel,48.7567,98.2839,-17.54,92,100,0.2,MN,1733712571
43,invercargill,-46.4,168.35,11.68,80,40,7.6,NZ,1733712462
44,punta arenas,-53.15,-70.9167,9.06,57,0,5.66,CL,1733712323
45,takoradi,4.8845,-1.7554,26.09,81,14,2.49,GH,1733712314
46,carnarvon,-24.8667,113.6333,25.06,71,81,7.55,AU,1733712576
47,hermanus,-34.4187,19.2345,16.0,82,47,4.28,ZA,1733712577
48,vadso,70.0744,29.7487,1.09,80,66,10.29,NO,1733712578
49,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,55,75,3.0,RU,1733712579
50,grytviken,-54.2811,-36.5092,0.2,75,100,5.03,GS,1733712580
51,geraldton,-28.7667,114.6,27.23,57,0,8.23,AU,1733712581
52,yekaterinoslavka,50.3734,129.1139,-15.67,79,25,1.37,RU,1733712582
53,weno,7.4515,151.8468,29.97,79,40,3.09,FM,1733712583
54,penzance,50.1186,-5.5371,8.38,73,90,13.01,GB,1733712584
55,vale de cambra,40.8497,-8.3939,3.68,80,5,1.2,PT,1733712586
56,la grande,45.3246,-118.0877,1.24,92,84,1.92,US,1733712587
57,bethel,41.3712,-73.414,7.46,71,50,0.89,US,1733712589
58,urangan,-25.3,152.9,26.55,73,5,5.74,AU,1733712590
59,stanley,54.868,-1.6985,7.01,88,100,6.17,GB,1733712591
60,lazaro cardenas,17.9583,-102.2,24.74,87,100,1.93,MX,1733712573
61,utrik,11.2278,169.8474,27.76,76,20,8.64,MH,1733712593
62,georgetown,5.4112,100.3354,29.96,74,20,1.54,MY,1733712453
63,avarua,-21.2078,-159.775,27.03,83,75,4.12,CK,1733712596
64,acarau,-2.8856,-40.12,26.57,81,100,5.86,BR,1733712597
65,baltasi,56.3462,50.2062,-4.77,70,99,5.49,RU,1733712340
66,west island,-12.1568,96.8225,27.99,83,75,8.23,CC,1733712599
67,blackmans bay,-43.0167,147.3167,19.18,52,51,1.34,AU,1733712600
68,reedsburg,43.5325,-90.0026,6.08,75,0,2.57,US,1733712601
69,gadzhiyevo,69.2551,33.3362,1.71,96,68,13.51,RU,1733712604
70,cocoa beach,28.32,-80.6076,16.73,90,84,3.0,US,1733712605
71,malango,-2.9627,119.9001,29.63,51,50,1.51,ID,1733712606
72,margaret river,-33.95,115.0667,23.5,51,0,6.81,AU,1733712607
73,happy valley-goose bay,53.3168,-60.3315,-14.83,92,100,1.54,CA,1733712608
74,corupa,-26.4253,-49.2431,20.25,100,100,1.61,BR,1733712609
75,tiksi,71.6872,128.8694,-24.01,95,100,2.39,RU,1733712610
76,sucua,-2.4667,-78.1667,19.51,98,90,1.24,EC,1733712611
77,klyuchi,52.2667,79.1667,-23.71,100,92,1.69,RU,1733712613
